
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      30.28
8                      30.41
16                     30.17
32                     32.90
64                     34.19
128                    37.79
256                    41.83
512                    44.92
1024                   48.57
2048                   73.70
4096                   94.58
8192                  187.42
16384                 128.27
32768                 148.43
65536                 193.02
131072                304.97
262144                468.73
524288               1086.62
1048576              2094.88
