
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      29.21
8                      28.92
16                     27.86
32                     29.49
64                     33.43
128                    34.62
256                    40.05
512                    44.61
1024                   46.44
2048                   86.93
4096                  117.23
8192                  229.38
16384                 147.28
32768                 163.06
65536                 227.22
131072                364.08
262144               1201.07
524288               3374.98
1048576              6264.71
