
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      29.06
8                      28.03
16                     29.22
32                     30.98
64                     32.70
128                    36.04
256                    39.54
512                    42.37
1024                   46.05
2048                   88.09
4096                  117.50
8192                  231.62
16384                 144.36
32768                 167.68
65536                 232.33
131072                353.37
262144               1205.09
524288               3434.07
1048576              6282.09
