
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      28.59
8                      28.29
16                     29.42
32                     29.74
64                     32.37
128                    35.20
256                    39.22
512                    42.25
1024                   46.87
2048                   86.88
4096                  118.79
8192                  230.64
16384                 141.22
32768                 175.52
65536                 224.29
131072                356.10
262144               1282.03
524288               3305.21
1048576              6336.26
