[1751076839.225868] [flux-sample-5:107  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file

# OSU MPI Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
[1751076839.223775] [flux-sample-14:91   :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file
1                       1.84
2                       1.84
4                       1.84
8                       1.84
16                      1.84
32                      2.10
64                      2.42
128                     2.44
256                     3.22
512                     3.27
1024                    3.84
2048                    4.02
4096                    4.94
8192                    5.75
16384                   6.70
32768                   8.61
65536                  12.16
131072                 19.64
262144                 29.10
524288                 50.09
1048576                92.58
2097152               177.82
4194304               347.44
