[1751076907.679153] [flux-sample-0:286  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
[1751076907.662389] [flux-sample-14:135  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file
1                       2.41
2                       4.83
4                       9.66
8                      19.39
16                     38.77
32                     76.80
64                    163.71
128                   329.45
256                   571.06
512                  1133.96
1024                 2188.49
2048                 4165.76
4096                 6448.23
8192                 8737.93
16384                9294.38
32768                9778.96
65536               12015.56
131072              12012.23
262144              12246.11
524288              12295.15
1048576             12321.27
2097152             12332.54
4194304             12339.48
