[1751076881.511333] [flux-sample-14:111  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
[1751076881.511794] [flux-sample-31:111  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file
1                       1.96
2                       3.94
4                       7.86
8                      15.72
16                     31.43
32                     62.56
64                    124.32
128                   247.66
256                   467.16
512                   919.09
1024                 1804.17
2048                 3976.05
4096                 5798.43
8192                 9122.84
16384                8705.96
32768                9894.95
65536               12036.17
131072              12177.42
262144              12254.90
524288              12218.99
1048576             12323.47
2097152             12333.92
4194304             12339.91
