[1751076904.874609] [flux-sample-0:280  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file

# OSU MPI Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
[1751076904.859609] [flux-sample-14:131  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file
1                       1.71
2                       1.71
4                       1.72
8                       1.72
16                      1.72
32                      1.97
64                      2.23
128                     2.25
256                     2.95
512                     3.00
1024                    3.54
2048                    3.74
4096                    4.51
8192                    5.07
16384                   5.97
32768                   8.18
65536                  11.57
131072                 18.60
262144                 29.14
524288                 50.41
1048576                93.02
2097152               177.97
4194304               347.81
