[1751076855.413468] [flux-sample-0:214  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
[1751076855.410423] [flux-sample-5:135  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file
1                       1.94
2                       3.87
4                       7.78
8                      15.52
16                     31.15
32                     61.62
64                    121.57
128                   239.54
256                   459.86
512                   906.40
1024                 1732.46
2048                 3759.02
4096                 5657.34
8192                 8611.13
16384                9413.62
32768                9810.84
65536               11739.80
131072              12168.29
262144              12250.07
524288              12216.93
1048576             12322.02
2097152             12333.16
4194304             12339.73
