[1751076865.552761] [flux-sample-6:99   :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file

# OSU MPI Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
[1751076865.574329] [flux-sample-26:115  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file
1                       2.26
2                       2.26
4                       2.26
8                       2.28
16                      2.27
32                      2.50
64                      2.77
128                     2.79
256                     3.50
512                     3.52
1024                    4.03
2048                    4.30
4096                    5.32
8192                    6.05
16384                   6.98
32768                   9.02
65536                  12.30
131072                 19.44
262144                 30.93
524288                 52.22
1048576                94.73
2097152               179.94
4194304               349.68
