
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      30.07
8                      29.82
16                     29.78
32                     30.86
64                     30.27
128                    34.45
256                    34.22
512                    36.47
1024                   40.27
2048                   58.54
4096                   75.60
8192                 1953.45
16384                 193.70
32768                2051.38
65536                 304.19
131072               1609.73
262144               1260.52
524288               3405.00
1048576              6515.35
