
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      24.07
8                      23.94
16                     25.72
32                     25.21
64                     27.72
128                    31.47
256                    31.52
512                    33.71
1024                   38.04
2048                   49.73
4096                   61.50
8192                 1938.68
16384                 160.97
32768                2039.65
65536                 250.84
131072               1424.63
262144                464.77
524288               1003.91
1048576              2012.35
