
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      29.65
8                      29.74
16                     29.95
32                     32.69
64                     30.20
128                    34.56
256                    34.36
512                    37.68
1024                   40.61
2048                   57.45
4096                   76.90
8192                 1960.60
16384                 192.62
32768                2062.27
65536                 307.35
131072               1588.56
262144               1222.38
524288               3422.46
1048576              6604.40
