
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      23.69
8                      23.95
16                     24.03
32                     25.21
64                     27.62
128                    31.37
256                    32.20
512                    34.72
1024                   38.56
2048                   49.06
4096                   61.11
8192                 1956.79
16384                 158.83
32768                2051.07
65536                 249.38
131072               1440.75
262144                461.95
524288               1000.13
1048576              2003.88
