
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      29.18
8                      29.81
16                     29.89
32                     31.09
64                     30.07
128                    34.53
256                    36.66
512                    38.47
1024                   41.65
2048                   57.72
4096                   75.53
8192                 1968.48
16384                 191.06
32768                2066.59
65536                 307.08
131072               1606.34
262144               1239.68
524288               3432.49
1048576              6621.29
