
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      23.90
8                      24.09
16                     24.16
32                     25.74
64                     27.83
128                    31.52
256                    31.39
512                    33.73
1024                   37.55
2048                   50.14
4096                   61.33
8192                 1932.43
16384                 160.00
32768                2042.27
65536                 253.09
131072               1428.22
262144                465.37
524288               1001.89
1048576              2014.69
