
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      23.96
8                      24.06
16                     24.14
32                     25.18
64                     27.78
128                    31.33
256                    31.37
512                    34.00
1024                   38.05
2048                   49.06
4096                   61.26
8192                 1923.51
16384                 162.01
32768                2024.07
65536                 252.58
131072               1420.46
262144                461.22
524288               1001.98
1048576              2019.07
