
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      23.84
8                      23.91
16                     23.99
32                     25.16
64                     27.57
128                    31.40
256                    31.59
512                    33.82
1024                   37.43
2048                   48.82
4096                   61.48
8192                 1948.36
16384                 158.80
32768                2040.82
65536                 251.92
131072               1427.94
262144                472.61
524288                996.16
1048576              2016.17
