# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.92
1                       1.92
2                       1.92
4                       1.92
8                       1.92
16                      1.93
32                      2.15
64                      2.33
128                     2.36
256                     3.03
512                     3.08
1024                    3.57
2048                    3.76
4096                    4.48
8192                    4.84
16384                   5.94
32768                   8.57
65536                  11.92
131072                 19.45
262144                 28.51
524288                 49.87
1048576                92.98
2097152               177.71
4194304               347.58
