# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.31
1                       2.30
2                       2.30
4                       2.31
8                       2.31
16                      2.31
32                      2.48
64                      2.87
128                     2.91
256                     3.68
512                     3.77
1024                    4.24
2048                    4.55
4096                    5.64
8192                    6.55
16384                   7.71
32768                   9.22
65536                  12.52
131072                 19.75
262144                 31.21
524288                 52.31
1048576                94.49
2097152               179.67
4194304               349.29
