# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.32
2                       4.66
4                       9.35
8                      18.62
16                     37.28
32                     74.41
64                    144.92
128                   313.62
256                   543.62
512                  1068.79
1024                 2102.61
2048                 3981.90
4096                 6064.56
8192                 8676.56
16384                9042.48
32768                9540.96
65536               11923.88
131072              12110.12
262144              12225.03
524288              12283.38
1048576             12314.62
2097152             12330.49
4194304             12337.92
