# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.37
1                       2.37
2                       2.37
4                       2.38
8                       2.37
16                      2.38
32                      2.58
64                      2.86
128                     2.90
256                     3.62
512                     3.70
1024                    4.17
2048                    4.40
4096                    5.44
8192                    6.06
16384                   6.93
32768                   9.21
65536                  12.64
131072                 19.91
262144                 30.28
524288                 51.45
1048576                94.17
2097152               179.19
4194304               349.02
