# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.93
1                       1.93
2                       1.93
4                       1.93
8                       1.93
16                      1.94
32                      2.16
64                      2.34
128                     2.37
256                     3.03
512                     3.09
1024                    3.58
2048                    3.76
4096                    4.48
8192                    4.84
16384                   5.92
32768                   8.54
65536                  12.01
131072                 19.52
262144                 28.44
524288                 49.90
1048576                92.99
2097152               177.79
4194304               347.72
