# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.42
2                       4.84
4                       9.69
8                      19.32
16                     38.67
32                     77.37
64                    149.94
128                   296.97
256                   564.57
512                  1118.13
1024                 2106.38
2048                 4330.37
4096                 6268.69
8192                 8861.95
16384                9210.73
32768                9643.26
65536               12004.18
131072              12168.08
262144              12258.34
524288              12300.42
1048576             12323.74
2097152             12333.98
4194304             12339.83
