# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.86
2                       3.73
4                       7.43
8                      14.86
16                     29.81
32                     59.42
64                    116.97
128                   233.52
256                   443.49
512                   875.12
1024                 1686.92
2048                 3690.98
4096                 5829.87
8192                 8380.57
16384                9070.68
32768                9661.05
65536               11950.71
131072              12128.35
262144              12226.33
524288              12208.31
1048576             12316.93
2097152             12330.16
4194304             12338.34
