# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.31
1                       2.32
2                       2.31
4                       2.32
8                       2.32
16                      2.33
32                      2.49
64                      2.87
128                     2.91
256                     3.71
512                     3.73
1024                    4.24
2048                    4.54
4096                    5.65
8192                    6.55
16384                   7.58
32768                   9.19
65536                  12.42
131072                 19.60
262144                 30.58
524288                 51.71
1048576                94.24
2097152               179.35
4194304               349.08
