# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.33
1                       2.33
2                       2.33
4                       2.33
8                       2.33
16                      2.34
32                      2.50
64                      2.89
128                     2.93
256                     3.71
512                     3.78
1024                    4.25
2048                    4.57
4096                    5.68
8192                    6.52
16384                   7.38
32768                   9.19
65536                  12.40
131072                 19.53
262144                 30.69
524288                 51.75
1048576                94.19
2097152               179.20
4194304               349.06
