# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.33
2                       4.69
4                       9.37
8                      18.74
16                     37.36
32                     74.56
64                    145.91
128                   315.63
256                   547.74
512                  1077.64
1024                 2108.00
2048                 3811.85
4096                 6157.90
8192                 8568.11
16384                9262.91
32768                9702.13
65536               11927.73
131072              11976.90
262144              12229.11
524288              12286.18
1048576             12315.58
2097152             12330.47
4194304             12337.74
