# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.91
2                       3.82
4                       7.66
8                      15.29
16                     30.59
32                     60.85
64                    120.04
128                   239.17
256                   453.97
512                   894.96
1024                 1743.09
2048                 3684.71
4096                 6097.98
8192                 8706.49
16384                9475.00
32768                9793.79
65536               12025.31
131072              12027.27
262144              12253.20
524288              12218.71
1048576             12322.98
2097152             12333.85
4194304             12339.77
