# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.87
1                       1.87
2                       1.87
4                       1.88
8                       1.88
16                      1.89
32                      2.08
64                      2.36
128                     2.39
256                     2.91
512                     3.35
1024                    3.68
2048                    3.87
4096                    4.69
8192                    5.23
16384                   6.13
32768                   8.54
65536                  11.91
131072                 19.35
262144                 29.35
524288                 50.76
1048576                93.02
2097152               178.19
4194304               347.98
