# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.36
1                       2.36
2                       2.36
4                       2.37
8                       2.36
16                      2.37
32                      2.56
64                      2.85
128                     2.89
256                     3.62
512                     3.78
1024                    4.18
2048                    4.43
4096                    5.43
8192                    6.10
16384                   7.01
32768                   9.23
65536                  12.64
131072                 19.99
262144                 30.26
524288                 51.35
1048576                94.15
2097152               179.18
4194304               348.94
