# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.39
2                       4.79
4                       9.56
8                      19.11
16                     38.24
32                     75.73
64                    168.39
128                   331.52
256                   567.26
512                  1125.48
1024                 2116.81
2048                 4007.40
4096                 6335.21
8192                 8650.88
16384                9292.09
32768                9705.29
65536               12005.69
131072              12147.17
262144              12244.23
524288              12295.19
1048576             12319.91
2097152             12332.78
4194304             12339.52
