# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.34
1                       2.34
2                       2.34
4                       2.34
8                       2.34
16                      2.36
32                      2.53
64                      2.97
128                     3.04
256                     3.79
512                     3.97
1024                    4.40
2048                    4.71
4096                    5.87
8192                    6.90
16384                   8.11
32768                  10.79
65536                  14.70
131072                 24.06
262144                 30.19
524288                 51.55
1048576                94.18
2097152               179.23
4194304               349.07
