# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.87
2                       3.76
4                       7.52
8                      15.05
16                     30.06
32                     60.00
64                    118.06
128                   234.30
256                   445.34
512                   880.42
1024                 1635.86
2048                 4019.46
4096                 5573.88
8192                 8403.71
16384                9161.72
32768                9579.35
65536               11944.21
131072              12125.19
262144              12223.59
524288              12286.69
1048576             12316.62
2097152             12330.14
4194304             12338.12
