# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.36
1                       2.36
2                       2.36
4                       2.37
8                       2.37
16                      2.38
32                      2.57
64                      2.86
128                     2.89
256                     3.62
512                     3.65
1024                    4.18
2048                    4.39
4096                    5.43
8192                    6.11
16384                   7.08
32768                   9.23
65536                  12.69
131072                 20.09
262144                 30.47
524288                 51.51
1048576                94.21
2097152               179.25
4194304               348.95
