# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.32
2                       4.66
4                       9.28
8                      18.57
16                     37.18
32                     74.25
64                    144.64
128                   313.11
256                   545.01
512                  1076.43
1024                 2076.21
2048                 4235.75
4096                 6089.58
8192                 8717.11
16384                8968.85
32768                9650.92
65536               11919.61
131072              12113.65
262144              12219.17
524288              12284.80
1048576             12314.69
2097152             12330.05
4194304             12337.93
