# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.31
1                       2.31
2                       2.31
4                       2.31
8                       2.31
16                      2.33
32                      2.49
64                      2.88
128                     2.91
256                     3.69
512                     3.79
1024                    4.24
2048                    4.56
4096                    5.64
8192                    6.51
16384                   7.69
32768                   9.21
65536                  12.44
131072                 19.59
262144                 31.15
524288                 52.22
1048576                94.47
2097152               179.66
4194304               349.23
