# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.31
1                       2.31
2                       2.31
4                       2.32
8                       2.32
16                      2.32
32                      2.49
64                      2.88
128                     2.92
256                     3.70
512                     3.73
1024                    4.23
2048                    4.51
4096                    5.64
8192                    6.53
16384                   7.55
32768                   9.18
65536                  12.42
131072                 19.56
262144                 31.08
524288                 52.27
1048576                94.49
2097152               179.62
4194304               349.39
