# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.77
1                       1.77
2                       1.77
4                       1.78
8                       1.78
16                      1.79
32                      1.96
64                      2.35
128                     2.38
256                     3.15
512                     3.24
1024                    3.72
2048                    4.04
4096                    4.92
8192                    5.78
16384                   6.67
32768                   8.61
65536                  12.05
131072                 19.58
262144                 29.32
524288                 50.29
1048576                92.81
2097152               177.84
4194304               347.65
