# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.86
2                       3.72
4                       7.48
8                      14.96
16                     29.83
32                     59.48
64                    117.12
128                   232.35
256                   442.68
512                   867.58
1024                 1697.08
2048                 3480.80
4096                 5808.54
8192                 8511.44
16384                9258.69
32768                9713.38
65536               11952.02
131072              12131.10
262144              12230.37
524288              12207.68
1048576             12317.51
2097152             12330.53
4194304             12338.53
