# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.87
2                       3.76
4                       7.51
8                      15.03
16                     30.04
32                     59.88
64                    118.14
128                   234.53
256                   446.92
512                   877.88
1024                 1632.18
2048                 3999.98
4096                 5577.74
8192                 8475.91
16384                9201.83
32768                9589.61
65536               11942.45
131072              12125.98
262144              12229.71
524288              12287.68
1048576             12316.97
2097152             12331.10
4194304             12338.20
