# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.37
1                       2.37
2                       2.37
4                       2.37
8                       2.37
16                      2.38
32                      2.58
64                      2.88
128                     2.90
256                     3.64
512                     3.70
1024                    4.17
2048                    4.41
4096                    5.42
8192                    6.08
16384                   7.09
32768                   9.24
65536                  12.67
131072                 19.99
262144                 31.22
524288                 52.50
1048576                95.05
2097152               180.06
4194304               349.68
