# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.91
2                       3.81
4                       7.62
8                      15.27
16                     30.48
32                     60.69
64                    120.48
128                   238.67
256                   452.22
512                   892.75
1024                 1763.30
2048                 3768.10
4096                 5991.30
8192                 8843.28
16384                9219.49
32768                9714.92
65536               12017.68
131072              12165.23
262144              12248.22
524288              12216.36
1048576             12321.91
2097152             12333.44
4194304             12339.63
