# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.88
2                       3.76
4                       7.52
8                      15.02
16                     30.05
32                     59.90
64                    118.04
128                   234.74
256                   445.22
512                   880.92
1024                 1621.00
2048                 3999.28
4096                 5610.54
8192                 8443.14
16384                9204.66
32768                9619.77
65536               11934.16
131072              12125.75
262144              12225.27
524288              12287.33
1048576             12316.52
2097152             12330.97
4194304             12338.33
