# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.94
2                       3.89
4                       7.77
8                      15.55
16                     31.06
32                     62.03
64                    121.88
128                   242.78
256                   458.44
512                   905.98
1024                 1679.20
2048                 4158.26
4096                 5732.39
8192                 8532.39
16384                9209.92
32768                9625.03
65536               12018.27
131072              12161.96
262144              12248.05
524288              12297.58
1048576             12321.77
2097152             12333.34
4194304             12339.58
