# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.94
2                       3.87
4                       7.74
8                      15.50
16                     31.05
32                     61.65
64                    121.37
128                   242.49
256                   459.12
512                   898.31
1024                 1702.93
2048                 3718.09
4096                 5777.03
8192                 8419.73
16384                9314.31
32768                9737.67
65536               11742.16
131072              12173.06
262144              12250.91
524288              12299.46
1048576             12322.47
2097152             12333.41
4194304             12339.73
