# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.81
1                       1.81
2                       1.81
4                       1.82
8                       1.82
16                      1.83
32                      1.98
64                      2.37
128                     2.40
256                     3.17
512                     3.22
1024                    3.74
2048                    4.01
4096                    4.89
8192                    5.66
16384                   6.64
32768                   8.47
65536                  11.71
131072                 18.84
262144                 29.22
524288                 50.30
1048576                92.97
2097152               177.85
4194304               347.65
