# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.88
2                       3.76
4                       7.51
8                      15.04
16                     30.06
32                     60.06
64                    118.27
128                   235.43
256                   446.60
512                   880.38
1024                 1627.68
2048                 3935.50
4096                 5595.94
8192                 8437.56
16384                9113.22
32768                9557.99
65536               11943.24
131072              12125.89
262144              12225.49
524288              12288.18
1048576             12317.06
2097152             12331.13
4194304             12337.82
