# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.86
2                       3.73
4                       7.45
8                      14.87
16                     29.75
32                     59.47
64                    117.10
128                   233.84
256                   444.22
512                   877.63
1024                 1727.24
2048                 3679.31
4096                 5523.32
8192                 8706.53
16384                9083.84
32768                9626.66
65536               11947.55
131072              12131.04
262144              12226.20
524288              12208.81
1048576             12317.14
2097152             12330.79
4194304             12338.24
