# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.33
2                       4.68
4                       9.34
8                      18.69
16                     37.31
32                     74.58
64                    145.15
128                   313.35
256                   542.63
512                  1074.06
1024                 2094.01
2048                 4081.20
4096                 6011.57
8192                 8668.36
16384                9073.23
32768                9501.94
65536               11921.08
131072              12107.37
262144              12226.95
524288              12282.94
1048576             12314.90
2097152             12330.36
4194304             12337.73
