# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.43
1                       2.42
2                       2.43
4                       2.43
8                       2.43
16                      2.44
32                      2.66
64                      2.85
128                     2.89
256                     3.58
512                     3.59
1024                    4.14
2048                    4.28
4096                    5.24
8192                    5.68
16384                   6.67
32768                   9.28
65536                  12.75
131072                 20.24
262144                 30.23
524288                 51.69
1048576                94.51
2097152               179.61
4194304               349.17
