# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.34
1                       2.34
2                       2.34
4                       2.34
8                       2.34
16                      2.35
32                      2.53
64                      2.97
128                     3.02
256                     3.75
512                     3.87
1024                    4.40
2048                    4.69
4096                    5.86
8192                    6.90
16384                   7.86
32768                  10.26
65536                  14.80
131072                 24.05
262144                 30.10
524288                 51.56
1048576                94.21
2097152               179.29
4194304               349.04
