# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.88
2                       3.77
4                       7.53
8                      15.09
16                     30.23
32                     60.15
64                    118.01
128                   233.23
256                   447.40
512                   880.98
1024                 1650.07
2048                 3740.41
4096                 5580.31
8192                 8242.53
16384                9206.11
32768                9689.29
65536               11952.18
131072              11988.15
262144              12225.28
524288              12289.04
1048576             12317.55
2097152             12331.22
4194304             12338.43
