# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.78
1                       1.78
2                       1.79
4                       1.79
8                       1.79
16                      1.79
32                      1.96
64                      2.35
128                     2.38
256                     2.96
512                     3.20
1024                    3.70
2048                    3.98
4096                    4.88
8192                    5.66
16384                   6.55
32768                   8.48
65536                  11.74
131072                 19.01
262144                 29.29
524288                 50.27
1048576                92.84
2097152               177.86
4194304               347.57
