# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.88
2                       3.77
4                       7.54
8                      15.12
16                     30.11
32                     60.03
64                    118.03
128                   234.64
256                   446.86
512                   881.63
1024                 1645.57
2048                 3788.02
4096                 5697.05
8192                 8330.75
16384                9220.08
32768                9663.10
65536               11672.88
131072              12132.90
262144              12233.04
524288              12289.38
1048576             12317.65
2097152             12331.24
4194304             12338.45
