# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.87
2                       3.76
4                       7.52
8                      15.02
16                     30.06
32                     60.06
64                    117.87
128                   235.45
256                   445.73
512                   879.06
1024                 1630.55
2048                 4026.74
4096                 5612.04
8192                 8455.47
16384                9141.04
32768                9644.35
65536               11944.93
131072              12125.42
262144              12231.26
524288              12288.11
1048576             12316.84
2097152             12330.26
4194304             12338.34
