# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.91
2                       3.84
4                       7.67
8                      15.35
16                     30.72
32                     61.26
64                    120.72
128                   240.64
256                   456.25
512                   896.95
1024                 1719.90
2048                 3842.64
4096                 5902.25
8192                 8499.51
16384                9238.22
32768                9604.77
65536               12015.81
131072              12165.43
262144              12247.78
524288              12216.78
1048576             12308.14
2097152             12333.42
4194304             12339.70
