# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.91
2                       3.84
4                       7.69
8                      15.39
16                     30.75
32                     61.38
64                    120.48
128                   240.44
256                   455.27
512                   898.41
1024                 1762.90
2048                 3733.09
4096                 5747.37
8192                 8800.34
16384                9166.94
32768                9686.56
65536               12014.29
131072              12161.41
262144              12243.89
524288              12214.93
1048576             12321.46
2097152             12333.23
4194304             12339.47
