# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.43
2                       4.86
4                       9.74
8                      19.44
16                     38.85
32                     77.75
64                    151.58
128                   324.14
256                   562.45
512                  1110.91
1024                 2108.44
2048                 3975.10
4096                 6378.56
8192                 9073.72
16384                9310.94
32768                9739.19
65536               12002.56
131072              11720.63
262144              12242.72
524288              12295.94
1048576             12320.44
2097152             12332.99
4194304             12335.56
