# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.38
2                       4.74
4                       9.52
8                      18.99
16                     38.00
32                     75.68
64                    164.87
128                   330.78
256                   564.91
512                  1121.73
1024                 2139.89
2048                 4340.42
4096                 6267.23
8192                 8895.79
16384                9215.91
32768                9683.61
65536               11995.92
131072              12143.63
262144              12242.81
524288              12294.56
1048576             12320.29
2097152             12332.37
4194304             12339.32
