# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.93
2                       3.89
4                       7.77
8                      15.53
16                     31.04
32                     61.79
64                    121.28
128                   242.05
256                   458.79
512                   903.44
1024                 1677.57
2048                 3871.14
4096                 5818.29
8192                 8522.04
16384                9482.81
32768                9879.02
65536               12021.03
131072              12019.78
262144              12252.52
524288              12297.86
1048576             12322.32
2097152             12333.50
4194304             12339.67
