# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.86
2                       3.72
4                       7.44
8                      14.89
16                     29.75
32                     59.39
64                    116.74
128                   233.59
256                   442.68
512                   872.55
1024                 1685.87
2048                 3735.57
4096                 5769.75
8192                 8341.08
16384                9155.78
32768                9602.06
65536               11932.64
131072              12125.49
262144              12225.52
524288              12208.10
1048576             12316.46
2097152             12330.95
4194304             12338.11
