# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.92
1                       1.92
2                       1.92
4                       1.92
8                       1.92
16                      1.93
32                      2.15
64                      2.33
128                     2.36
256                     3.05
512                     3.12
1024                    3.60
2048                    3.76
4096                    4.48
8192                    4.84
16384                   5.90
32768                   8.55
65536                  12.02
131072                 19.47
262144                 27.74
524288                 49.09
1048576                92.16
2097152               177.15
4194304               347.10
