# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.80
1                       1.80
2                       1.80
4                       1.80
8                       1.80
16                      1.81
32                      1.97
64                      2.33
128                     2.38
256                     3.16
512                     3.22
1024                    3.71
2048                    4.02
4096                    4.90
8192                    5.67
16384                   6.59
32768                   8.49
65536                  11.80
131072                 18.93
262144                 29.35
524288                 50.36
1048576                92.87
2097152               177.86
4194304               347.59
